date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:03	70766/70766	---M-Z	200	added ('OK')	text/html	etag:%221146e-6637369c-7af254efcb90f1c9;gz%22	https://html.rrdevs.net/xlab/index.html	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/index.html	(from )
21:23:05	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-661763d2-d6d3776d67c20dc1;gz%22	https://html.rrdevs.net/robots.txt		(from )
21:23:05	1963/1963	---M-Z	200	added ('OK')	image/svg+xml	etag:%227ab-663736ac-ba37bc64fe7e00da;gz%22	https://html.rrdevs.net/xlab/assets/imgs/favicon.svg	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/imgs/favicon.svg	(from https://html.rrdevs.net/xlab/index.html)
21:23:06	45025/45025	---M-Z	200	added ('OK')	text/css	etag:%22afe1-663736b1-67fb185afed53487;gz%22	https://html.rrdevs.net/xlab/assets/css/vendor/animate.min.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/vendor/animate.min.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:06	232947/232947	---M-Z	200	added ('OK')	text/css	etag:%2238df3-663736b1-fec01443883cc002;gz%22	https://html.rrdevs.net/xlab/assets/css/vendor/bootstrap.min.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/vendor/bootstrap.min.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:07	21052/21052	---M-Z	200	added ('OK')	text/css	etag:%22523c-663736b0-4296128323a10d71;gz%22	https://html.rrdevs.net/xlab/assets/css/plugins/swiper.min.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/plugins/swiper.min.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:07	7358/7358	---M-Z	200	added ('OK')	text/css	etag:%221cbe-663736b1-3abb3c2842ccb3fe;gz%22	https://html.rrdevs.net/xlab/assets/css/vendor/magnific-popup.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/vendor/magnific-popup.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:08	60759/60759	---M-Z	200	added ('OK')	text/css	etag:%22ed57-663736b1-31f5a1dd1a4bdcc4;gz%22	https://html.rrdevs.net/xlab/assets/css/vendor/spacing.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/vendor/spacing.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:08	466047/466047	---M-Z	200	added ('OK')	text/css	etag:%2271c7f-663736b1-2b16f0c87243ad1;gz%22	https://html.rrdevs.net/xlab/assets/css/vendor/fontawesome-pro.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/vendor/fontawesome-pro.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:08	1034/1034	---M-Z	200	added ('OK')	text/css	etag:%2240a-663736b0-74c93fc15b4ac223;gz%22	https://html.rrdevs.net/xlab/assets/css/plugins/carouselTicker.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/plugins/carouselTicker.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:08	357944/357944	---M-Z	200	added ('OK')	text/css	etag:%2257638-663736ac-d8425420a34a9629;gz%22	https://html.rrdevs.net/xlab/assets/css/main.css	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/css/main.css	(from https://html.rrdevs.net/xlab/index.html)
21:23:09	6508/6508	---M-Z	200	added ('OK')	image/svg+xml	etag:%22196c-663736c8-fbce52ee4e938b50;gz%22	https://html.rrdevs.net/xlab/assets/imgs/logo/logo-white.svg	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/imgs/logo/logo-white.svg	(from https://html.rrdevs.net/xlab/index.html)
21:23:09	169265/169265	---M-Z	200	added ('OK')	text/html	etag:%2229531-663736a0-2c18b90c91b6840a;gz%22	https://html.rrdevs.net/xlab/index-3.html	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/index-3.html	(from https://html.rrdevs.net/xlab/index.html)
21:23:09	6523/6523	---M-Z	200	added ('OK')	image/svg+xml	etag:%22197b-663736c8-151d14d1cb4724d9;gz%22	https://html.rrdevs.net/xlab/assets/imgs/logo/logo.svg	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/imgs/logo/logo.svg	(from https://html.rrdevs.net/xlab/index.html)
21:23:10	63177/63177	---M-Z	200	added ('OK')	text/html	etag:%22f6c9-663736a7-c3665940e05b00fc;gz%22	https://html.rrdevs.net/xlab/index-one-page.html	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/index-one-page.html	(from https://html.rrdevs.net/xlab/index.html)
21:23:10	90280/90280	---M--	200	added ('OK')	image/jpeg	etag:%22160a8-663736cd-e5c238f7384d591f;;;%22	https://html.rrdevs.net/xlab/assets/imgs/menu/menu-home-1.jpg	C:/Users/PC/Downloads/XLAB/html.rrdevs.net/xlab/assets/imgs/menu/menu-home-1.jpg	(from https://html.rrdevs.net/xlab/index.html)
